game_episode,end_x,end_y
153363_1,54.46432,19.886759
153363_2,22.671814,42.64436
153363_6,23.875038,58.725533
153363_7,42.5828,13.713626
153363_8,65.777504,17.979404
153363_9,62.39413,53.464165
153363_10,43.448376,22.165552
153363_12,59.830227,10.748737
153363_13,31.666971,59.157562
153363_15,54.794613,12.000234
153363_16,38.883667,13.816607
153363_17,64.04745,54.797756
153363_18,76.344765,41.967
153363_19,27.536936,25.714706
153363_20,45.008366,18.277893
153363_21,56.654434,14.76628
153363_22,35.234524,42.22985
153363_23,35.0563,14.002417
153363_24,17.539778,34.078533
153363_26,53.67962,43.16124
153363_27,45.48253,48.12275
153363_28,67.019,4.8748283
153363_29,79.319626,47.31743
153363_30,90.746956,42.441845
153363_31,78.09355,36.07031
153363_32,39.252113,29.051937
153363_33,71.35509,40.183975
153363_34,55.715874,16.507914
153363_35,33.608833,34.0836
153363_36,83.05308,37.4434
153363_37,70.1255,38.286736
153363_38,68.07259,10.863961
153363_41,47.851406,53.60117
153363_43,58.187294,9.895954
153363_44,76.11118,5.726554
153363_47,60.742126,13.296413
153363_48,31.240753,52.871395
153363_49,55.77896,12.303102
153363_50,59.48381,64.8704
153363_51,66.399895,12.224098
153363_52,50.118988,16.80847
153363_53,25.271498,42.511368
153363_54,63.75081,50.96963
153363_56,57.293163,15.3568535
153363_57,16.951786,42.60519
153363_58,65.57187,54.921944
153363_59,66.01027,19.818506
153363_60,21.904459,43.70756
153363_61,29.794437,43.866947
153363_62,68.37859,47.424526
153363_64,68.28129,10.356554
153363_65,85.91103,22.337322
153363_66,23.983541,53.75228
153363_67,74.91991,36.79075
153363_68,52.674274,31.944256
153363_69,27.442911,55.179527
153363_70,75.25278,21.049387
153363_71,70.29592,46.982567
153363_72,31.922937,53.542625
153363_73,29.411125,20.234081
153363_74,63.32514,19.20027
153363_75,72.79317,51.191338
153363_76,51.12342,55.04654
153363_77,41.77064,11.311796
153363_79,57.58588,22.08763
153363_80,31.635447,35.793835
153363_81,44.029182,61.08241
153363_82,78.69391,22.178959
153363_83,31.241995,22.83582
153363_84,38.553177,30.26183
153363_85,72.66765,15.322749
153363_86,67.65009,26.092436
153364_1,40.325768,48.216278
153364_2,24.2284,37.420944
153364_3,34.820538,44.987984
153364_4,41.234795,40.890507
153364_5,32.9569,20.099756
153364_6,46.928005,15.933779
153364_7,58.87327,9.472233
153364_8,46.91194,49.68339
153364_9,67.64924,29.693546
153364_10,54.515682,14.183484
153364_11,74.385895,5.5819187
153364_12,51.995247,21.768389
153364_14,71.102165,44.86032
153364_15,13.053738,21.582092
153364_16,36.23421,38.532974
153364_17,63.571728,29.658245
153364_18,75.6564,13.535942
153364_19,52.404533,47.291874
153364_20,10.083194,34.98854
153364_21,65.819786,53.081886
153364_22,90.7295,13.88692
153364_23,30.628952,22.551218
153364_24,41.96099,40.62104
153364_25,50.720448,12.041791
153364_26,38.37893,12.369042
153364_27,45.805714,44.166283
153364_28,78.640305,54.75048
153364_29,18.220959,24.465725
153364_30,6.2580276,28.917728
153364_31,49.760254,29.836456
153364_32,48.21756,54.713367
153364_33,16.284904,31.156097
153364_34,57.80485,14.919449
153364_36,60.576717,52.04292
153364_37,39.68565,15.1602
153364_38,79.11651,28.989574
153364_39,54.946068,56.434418
153364_40,49.9056,24.910229
153364_41,56.641624,47.85415
153364_42,71.50361,6.197607
153364_43,45.546833,49.307552
153364_44,74.85086,29.256598
153364_45,51.733574,54.57876
