선행품목,후행품목,선행품목hs4,후행품목hs4,최적지연기간,피어슨상관계수,피어슨p값
AANGBULD,DEWLVASR,4810,3038,6,0.673163185409334,6.840833419887237e-06
AANGBULD,ELQGMQWE,4810,2002,10,0.5404182430672061,0.0014080181610853838
AANGBULD,EVBVXETX,4810,3404,6,0.45344180617811813,0.005479127952977006
AANGBULD,FITUEHWN,4810,8714,7,0.4163081378183322,0.01286256297651547
AANGBULD,FTSVTTSR,4810,2529,3,0.5339759051926132,0.0004634563777417506
AANGBULD,GKQIJYDH,4810,8501,6,0.5819629101174915,0.0001967861078556063
AANGBULD,IGDVVKUD,4810,3824,12,0.42905764525079293,0.01798539926266905
AANGBULD,KJNSOAHR,4810,8479,7,0.627357760974755,5.4981206468391504e-05
AANGBULD,LLHREMKS,4810,2807,5,0.49981524015491724,0.0016340239777048486
AANGBULD,NAQIHUKZ,4810,3813,2,0.5232132136528066,0.0005319441632681401
AANGBULD,UGEQLMXM,4810,8714,10,0.4044072001245823,0.02169258024943358
AANGBULD,VUAFAIYJ,4810,6101,2,0.5524835206323286,0.00021863982066326504
AANGBULD,WPQXWHYO,4810,2811,5,0.42688678054945894,0.008414694829664842
AANGBULD,XIIEJNEE,4810,3815,7,0.5487494219696829,0.000641691483515063
AANGBULD,ZCELVYQU,4810,8461,7,0.683664474960515,5.984340914464902e-06
AANGBULD,ZGJXVMNI,4810,3006,1,0.40794409136343796,0.008106106787431526
AANGBULD,ZKENOUDA,4810,2805,1,0.6010581979116802,3.245409044605373e-05
AANGBULD,ZXERAXWP,4810,4802,10,0.606035262805094,0.00023684871084818078
AHMDUILJ,APQGTRMF,2102,8105,6,0.4224425384110383,0.01026973824056954
AHMDUILJ,ATLDMDBO,2102,2814,4,0.48367814638152373,0.00209467249354853
AHMDUILJ,BJALXPFS,2102,2847,10,0.5769946337406769,0.0005460088185747362
AHMDUILJ,BLANHGYY,2102,9022,9,0.413564191035581,0.01674071975605188
AHMDUILJ,BSRMSVTC,2102,2805,12,0.5021700341966869,0.004688222596189239
AHMDUILJ,BUZIIBYG,2102,9403,4,0.48087946768935425,0.0022424208819499993
AHMDUILJ,DUCMGGNW,2102,3806,1,0.4439208137227134,0.0036448411062078175
AHMDUILJ,FDXPMYGF,2102,7907,11,0.5182548401765144,0.002821223424059576
AHMDUILJ,HXYSSRXE,2102,2836,12,0.478086969196751,0.007536696419935606
AHMDUILJ,LRVGFDFM,2102,3102,4,0.4562691141499854,0.003987258021556628
AHMDUILJ,QRKRBYJL,2102,2841,5,0.4383473559624184,0.006653626931698579
AHMDUILJ,QVLMOEYE,2102,4202,7,0.42579556781012123,0.010764846702691604
AHMDUILJ,RAWUKQMJ,2102,2916,10,0.4909527791287195,0.004328958278398083
AHMDUILJ,RJGPVEXX,2102,2811,7,0.44334895279592546,0.0076421116225826044
AHMDUILJ,SUOYXCHP,2102,2805,12,0.48392716426703003,0.006737706992443858
AHMDUILJ,UXSPKBJR,2102,3206,4,0.5286610416706362,0.0006447888211269122
AHMDUILJ,WPQXWHYO,2102,2811,7,0.45859043874437166,0.005593647910130351
AHMDUILJ,XIIEJNEE,2102,3815,2,0.4102843674066797,0.008551586067793038
AHMDUILJ,XMKRPGLB,2102,2529,11,0.4577637956738899,0.009613727031068295
APQGTRMF,ATLDMDBO,8105,2814,3,0.5463151741971907,0.00032079824288173703
APQGTRMF,AXULOHBQ,8105,5515,12,0.5081176130083633,0.004147611728988426
APQGTRMF,BEZYMBBT,8105,3207,1,0.4276327882439561,0.005289534890780602
APQGTRMF,BJALXPFS,8105,2847,11,0.4761313647458093,0.0067777978722422865
APQGTRMF,BLANHGYY,8105,9022,3,0.509186896930645,0.0009314075814890033
APQGTRMF,BSRMSVTC,8105,2805,6,0.4565039268360465,0.005133249112837476
APQGTRMF,BTMOEMEP,8105,3102,2,0.5075484868428533,0.000829079560127896
APQGTRMF,DBWLZWNK,8105,5602,6,0.4744949145990388,0.0034574329583066904
APQGTRMF,DJBLNPNC,8105,2805,1,0.41517588478801626,0.0069496702724356875
APQGTRMF,DNMPSKTB,8105,2811,6,0.5474204913214666,0.0005495955440909346
