leading_item_id,following_item_id,value
AANGBULD,DDEXPPXU,39217
AANGBULD,GKQIJYDH,9329591
AANGBULD,GYHKIVQT,16999886
AANGBULD,HCDTGMST,76078
AANGBULD,IGDVVKUD,30701
AANGBULD,KJNSOAHR,12803633
AANGBULD,OJIFIHMZ,2537191
AANGBULD,OXKURKXR,118749
AANGBULD,UIFPPCLR,99442
AANGBULD,XIIEJNEE,82699
AHMDUILJ,AANGBULD,379029
AHMDUILJ,ATLDMDBO,39458390
AHMDUILJ,ELQGMQWE,636108
AHMDUILJ,GKQIJYDH,9329591
AHMDUILJ,JERHKLYW,34312
AHMDUILJ,MIRCVAMV,66424
AHMDUILJ,OJIFIHMZ,2537191
AHMDUILJ,SAHWCZNH,2372362
AHMDUILJ,SNHYOVBM,391241
AHMDUILJ,TGOELCAG,217923
AHMDUILJ,UGEQLMXM,198231
AHMDUILJ,UIFPPCLR,99442
AHMDUILJ,UQYUIVVR,5563284
AHMDUILJ,XIIEJNEE,82699
AHMDUILJ,ZCELVYQU,166618
ANWUJOKX,AHMDUILJ,126616
ANWUJOKX,BTMOEMEP,12097667
ANWUJOKX,FRHNWLNI,1145744
ANWUJOKX,LPHPPJUG,1221384
ANWUJOKX,OGAFEHLU,32166
ANWUJOKX,PLMZALFA,32166
ANWUJOKX,RAWUKQMJ,3775280
ANWUJOKX,STZDBITS,23835357
ANWUJOKX,TANNMIMB,32166
ANWUJOKX,UQYUIVVR,5563284
ANWUJOKX,VWMBASNE,91956
ANWUJOKX,XIPPENFQ,130776
ANWUJOKX,XMKRPGLB,1346347
ANWUJOKX,ZKENOUDA,335037
APQGTRMF,DBWLZWNK,184633
APQGTRMF,LUENUFGA,3750156
APQGTRMF,SNHYOVBM,391241
APQGTRMF,UGEQLMXM,198231
APQGTRMF,WQMVCOEM,67098
APQGTRMF,ZGJXVMNI,3179150
ATLDMDBO,ANWUJOKX,32166
ATLDMDBO,BEZYMBBT,3788059
ATLDMDBO,BJALXPFS,144373
ATLDMDBO,DBWLZWNK,184633
ATLDMDBO,DEWLVASR,336176
ATLDMDBO,FTSVTTSR,213677
ATLDMDBO,LTOYKIML,333943
ATLDMDBO,OGAFEHLU,32166
ATLDMDBO,OJIFIHMZ,2537191
ATLDMDBO,PLMZALFA,32166
ATLDMDBO,PYZMVUWD,30701
ATLDMDBO,QSDCUCLB,32166
ATLDMDBO,SNHYOVBM,391241
ATLDMDBO,TANNMIMB,32166
ATLDMDBO,TGOELCAG,217923
ATLDMDBO,XMKRPGLB,1346347
ATLDMDBO,ZGJXVMNI,3179150
AXULOHBQ,APQGTRMF,40984
AXULOHBQ,ATLDMDBO,39458390
AXULOHBQ,BLANHGYY,67098
AXULOHBQ,KJNSOAHR,12803633
AXULOHBQ,MIRCVAMV,66424
AXULOHBQ,OKMBFVKS,1532256
AXULOHBQ,SAAYMURU,39217
AXULOHBQ,VUAFAIYJ,754695
AXULOHBQ,XIPPENFQ,130776
BEZYMBBT,AANGBULD,379029
BEZYMBBT,AHMDUILJ,126616
BEZYMBBT,APQGTRMF,40984
BEZYMBBT,DBWLZWNK,184633
BEZYMBBT,HXYSSRXE,5212157
BEZYMBBT,JPBRUTWP,5224587
BEZYMBBT,QSDCUCLB,32166
BEZYMBBT,RJGPVEXX,672086
BEZYMBBT,TANNMIMB,32166
BEZYMBBT,TGOELCAG,217923
BEZYMBBT,WPQXWHYO,11819677
BEZYMBBT,XIIEJNEE,82699
BEZYMBBT,XMKRPGLB,1346347
BJALXPFS,BLANHGYY,67098
BJALXPFS,DEWLVASR,336176
BJALXPFS,EVBVXETX,4952785
BJALXPFS,FDXPMYGF,32166
BJALXPFS,FITUEHWN,77452
BJALXPFS,FTSVTTSR,213677
BJALXPFS,GMBFCMIU,32166
BJALXPFS,QRKRBYJL,2535816
BJALXPFS,QSDCUCLB,32166
BJALXPFS,RUVXNNVA,32166
BJALXPFS,TANNMIMB,32166
BJALXPFS,UGEQLMXM,198231
BJALXPFS,UXSPKBJR,480410
BJALXPFS,WHPUAOID,52222
BJALXPFS,WPQXWHYO,11819677
BJALXPFS,XIFHSOWQ,85931
BJALXPFS,XIPPENFQ,130776
BJALXPFS,YSYHGLQK,30701
BJALXPFS,ZKENOUDA,335037
BLANHGYY,AANGBULD,379029
BLANHGYY,AHMDUILJ,126616
BLANHGYY,MBSBZBXA,4689088
BLANHGYY,PLMZALFA,32166
BLANHGYY,QJQJSWFU,144373
BLANHGYY,QKXNTIIB,2671823
BLANHGYY,QVLMOEYE,1209403
BLANHGYY,RJGPVEXX,672086
BLANHGYY,TANNMIMB,32166
BLANHGYY,UGEQLMXM,198231
BLANHGYY,UIFPPCLR,99442
BLANHGYY,VUAFAIYJ,754695
BLANHGYY,XIPPENFQ,130776
BLANHGYY,ZKENOUDA,335037
BSRMSVTC,AHMDUILJ,126616
BSRMSVTC,KAGJCHMR,30701
BSRMSVTC,LLHREMKS,70709
BSRMSVTC,LSOIUSXD,212408
BSRMSVTC,MBSBZBXA,4689088
BSRMSVTC,MIRCVAMV,66424
BSRMSVTC,NAQIHUKZ,32166
BSRMSVTC,OJIFIHMZ,2537191
BSRMSVTC,OXKURKXR,118749
BSRMSVTC,QVLMOEYE,1209403
BSRMSVTC,RJGPVEXX,672086
BSRMSVTC,ROACSLMG,2585970
BSRMSVTC,RUVXNNVA,32166
BSRMSVTC,TANNMIMB,32166
BSRMSVTC,VBYCLTYZ,334154
BSRMSVTC,WBLJNPZQ,159579
BSRMSVTC,WHPUAOID,52222
BSRMSVTC,WPQXWHYO,11819677
BSRMSVTC,XUOIQPFL,3029026
BTMOEMEP,APQGTRMF,40984
BTMOEMEP,BEZYMBBT,3788059
BTMOEMEP,DBWLZWNK,184633
BTMOEMEP,DNMPSKTB,5121753
BTMOEMEP,EVBVXETX,4952785
BTMOEMEP,JBVHSUWY,350426
BTMOEMEP,OXKURKXR,118749
BTMOEMEP,QRKRBYJL,2535816
BTMOEMEP,RUVXNNVA,32166
BTMOEMEP,SNHYOVBM,391241
